,rec_type,calibration_topic,calibration_complexity,fragmentation,affect,representation,alternative_voices
0,lstur,2.603815965450426,1.1432274461402898,7.720126772595989,0.1480629924679023,0.10783878230657112,0.014243280874395681
1,naml,2.5332749133657884,1.1287345258647816,7.392562522200702,0.15306675763430713,0.10467911086375545,0.012709291749831845
2,npa,2.5945140323527562,1.1389570084953309,7.620239995267346,0.1521041014700153,0.12373040826765795,0.01338767147129238
3,nrms,2.501289756132047,1.1203941220198963,7.451865082602793,0.1442451372917206,0.1114274977207406,0.011269755861300189
4,pop,2.9384044051850546,1.1081605620415376,7.637691123935995,0.16051785929520793,0.1028487581136631,0.0101681324244648
5,random,3.603798825585681,1.5984755991262827,8.62949065090113,0.8079212511307328,1.124844746072791,0.041954405028425894
