cue;frequency;classification
fighter pilot;57;general
naval officer;57;general
triathlete;57;sport
motorcycle racer;56;sport
librettist;56;general
astrophysicist;56;general
humanitarian;56;general
psychiatrist;55;general
bookseller;55;general
nun;55;general
general contractor;53;general
impresario;53;general
ventriloquist;53;general
astronaut;53;general
elder;53;general
paramedic;53;general
pacifist;53;general
vocalist;53;entertainment
karateka;52;sport
curator;52;general
swordsman;51;general
mycologist;51;general
fashion model;51;entertainment
patron of the arts;51;entertainment
reporter;51;general
poker player;51;entertainment
volleyball player;51;sport
catholicos;50;general
hotel manager;50;general
commodity broker;49;general
tarento;49;general
reality television participant;49;entertainment
botanical illustrator;48;general
mangaka;48;entertainment
overseer;48;general
warrior;48;general
geographer;46;general
cleaner;45;general
stock trader;45;business
terrorist;45;general
ceramist;45;general
short track speed skater;45;sport
rasul;45;general
textile artist;45;entertainment
poster artist;44;entertainment
pteridologist;44;general
magician in fantasy;43;entertainment
social activist;43;general
plumber;43;general
pharmacologist;43;general
monk;43;general
police officer;42;general
drug trafficker;42;general
professor emeritus;42;general
artificial intelligence researcher;42;general
gaelic football player;42;sport
bookbinder;42;general
frisian handball player;42;sport
humourist;42;general
humorist;42;general
conservationist;42;general
mime artist;41;entertainment
jesuit;41;general
pundit;41;general
philosopher of science;40;general
poet lawyer;39;general
patent examiner;39;general
science writer;39;general
trader;39;business
fencer;39;general
monster hunter;39;general
treasurer;38;general
security hacker;38;general
opera singer;37;entertainment
circus performer;37;entertainment
supervillain;37;general
ski jumper;37;sport
dub actor;37;entertainment
scenographer;37;entertainment
vicar;37;general
colourist;37;general
colorist;37;general
music video director;37;entertainment
media proprietor;36;entertainment
graphic artist;36;entertainment
evangelist;36;general
mass murderer;36;general
real estate entrepreneur;36;general
contract killer;36;general
intelligence analyst;36;general
final editor;36;general
museum director;35;general
whistleblower;35;general
track and field coach;35;sport
fictional serial killer;33;general
rally driver;33;sport
archer;33;sport
smoke shop;33;general
abbot;33;general
suffragette;32;general
bodyguard;32;general
detective;32;general
anarchist;31;politics
fictional mass murderer;31;general
freedom fighter;31;politics
performance artist;31;entertainment
cartographer;31;general
astrologer;31;general
canoeist;31;sport
occultist;31;general
camera operator;30;general
prosaist;30;general
00 agent;30;general
smuggler;30;general
truck driver;30;general
majordomo;29;general
pornographic actor;29;entertainment
amateur wrestler;29;sport
security guard;29;general
instrument maker;29;general
banjoist;29;entertainment
major;29;general
runner;29;sport
physiologist;28;general
anatomist;28;general
polymath;28;general
nurse;28;general
art dealer;28;general
microbiologist;27;general
canon;27;general
chief justice;27;politics
prophets in islam;27;general
prophets of islam;27;general
wood carver;27;general
mechanical engineer;27;general
correspondence chess player;27;sport
local historian;27;general
street artist;26;entertainment
statistician;26;general
environmental scientist;26;general
correspondent;26;general
mandolinist;26;entertainment
beauty pageant contestant;25;entertainment
military historian;25;general
kickboxer;25;sport
thai boxer;25;sport
grand couturier;25;entertainment
provost;25;general
propagandist;24;general
sprinter;24;sport
sailor;24;general
web developer;24;general
high school teacher;24;general
editor-in-chief;24;general
video artist;24;entertainment
dramaturge;23;general
hacker;23;general
bible translator;23;general
percussionist;23;entertainment
music artist;23;entertainment
carpenter;22;general
carpentry;22;general
real estate developer;22;general
keytarist;22;entertainment
clarinetist;21;entertainment
sporting director;21;sport
muezzin;21;general
filmmaker;21;entertainment
film maker;21;entertainment
critic;21;general
balloonist;21;general
prince-bishop;21;general
lobbyist;20;general
suffragist;19;general
bagpiper;19;entertainment
ichthyologist;19;general
weightlifter;19;sport
installation artist;18;general
mountaineer;18;sport
chemical engineer;18;general
internet activist;18;general
artistic gymnast;18;sport
tournament director;18;general
intelligence officer;18;general
construction worker;18;general
seiy?;18;general
illusionist;18;entertainment
cross-country skier;18;sport
bishop of st asaph;18;general
orthodox priest;18;general
table tennis player;17;sport
aphorist;17;general
video blogger;17;entertainment
handball coach;17;sport
system administrator;17;general
government contractor;17;general
dissident;17;general
social critic;17;general
executive director;17;business
kabaddi player;17;general
porter;17;general
rock climber;17;sport
lecturer;16;general
music critic;16;entertainment
theatrical producer;16;entertainment
archbishop;16;general
auror;16;general
quidditch player;16;general
government agent;16;general
waiter;16;general
real estate broker;16;general
club dj;16;entertainment
organist;16;entertainment
psychotherapist;16;general
stand-up comedian;16;entertainment
serial killer;16;general
cult leader;16;general
speechwriter;15;general
trumpeter;15;general
marathon runner;15;sport
film critic;15;entertainment
child actor;15;entertainment
basketball coach;15;sport
data scientist;15;general
opinion journalist;14;politics
entertainer;14;entertainment
companion;14;general
mujahid;14;general
neurosurgeon;14;general
political journalist;14;politics
beach volleyball player;14;sport
winegrower;14;general
weather presenter;13;general
bailie;13;general
bass-guitarist;13;entertainment
music producer;13;entertainment
toy;13;general
herpetologist;13;general
podcaster;13;entertainment
money changer;13;general
oboist;13;general
bryologist;13;general
top official;13;general
geologist;13;general
anti-vaccine activist;13;general
fabulist;12;general
secretary;12;general
funeral director;12;general
dressmaker;12;entertainment
linguist;12;general
butler;12;general
futsal player;12;sport
powerlifter;12;sport
horticulturist;12;general
demographer;12;general
mystic;11;general
claims adjuster;11;general
nutritionist;11;general
comics writer;11;entertainment
industrialist;11;general
manufacturer;11;general
head coach;11;sport
lacrosse player;11;sport
political campaign staff;11;politics
press secretary;11;general
pastellist;11;general
cosmologist;11;entertainment
religious leader;10;general
cookery writer;10;entertainment
motivational speaker;10;general
gnostic;10;general
queen regnant;10;general
educator;10;general
political writer;10;politics
demon hunter;10;general
long-distance runner;10;sport
carom billiards player;10;sport
music executive;10;entertainment
chronicler;10;entertainment
pet;9;general
courtesan;9;general
exotic dancer;9;general
national team coach;9;sport
skating coach;9;sport
prince;9;general
social worker;9;general
memoirist;9;general
sports agent;9;sport
congressional staff;9;politics
schoolmaster;9;general
classical scholar;9;general
investigative reporter;9;general
talk show host;8;entertainment
referee;8;sport
advocate;8;general
cryptographer;8;general
military theorist;8;general
pathologist;8;general
historian of the modern age;8;general
improviser;8;entertainment
interpreter;8;general
venture capitalist;8;business
prehistorian;8;general
videographer;8;entertainment
ethnologist;7;general
rabbi;7;general
acting;7;entertainment
salesperson;7;business
lithographer;7;general
maid;7;general
av idol;7;general
flautist;7;general
glamour model;7;entertainment
water polo player;7;sport
synchronized swimmer;7;sport
nazirite;7;general
travel writer;7;general
playboy playmate;7;general
clinical psychologist;7;general
beekeeper;7;general
editorial cartoonist;7;general
shopkeeper;7;general
music theorist;7;general
biochemist;7;general
audio engineer;7;general
bank manager;7;business
time traveller;7;general
campaign manager;7;politics
video game developer;7;general
video game developer person;7;general
gangster;6;general
tribal chief;6;general
permanent politician;6;politics
shepherd;6;general
anwalt;6;general
contributing editor;6;general
scandinavian studies scholar;6;general
president;6;general
baseball coach;6;sport
harpsichordist;6;general
stockbroker;6;business
skipper;6;general
helicopter pilot;6;general
windsurfer;6;sport
tennis coach;6;sport
musical instrument maker;6;general
gymnast;6;sport
biophysicist;6;general
perennial candidate;6;general
"""queens counsel""";6;general
united states attorney general;6;general
united states deputy attorney general;6;general
war correspondent;6;general
private investigator;6;general
collector;6;general
draughts player;6;sport
creative producer;6;entertainment
sportswriter;6;sport
art critic;5;general
mercenary;5;general
partisan;5;general
princess;5;general
submariner;5;general
criminologist;5;general
pensioner;5;general
ethologist;5;general
primatologist;5;general
psychoanalyst;5;general
drug dealer;5;general
neuroscientist;5;general
choir director;5;general
rugby league administrator;5;sport
announcer;5;general
state lawyer;5;general
acrobat;5;sport
neurologist;5;general
creative director;5;general
demagogue;5;general
weapons manufacturer;5;general
esotericist;5;general
satirist;5;general
executive officer;5;general
executive;5;general
polo player;5;sport
waste collector;5;general
preface author;5;general
guitar maker;5;general
drug lord;5;general
harpist;5;general
video game producer;5;general
sports physician;5;general
gynaecologist;5;general
sound artist;5;entertainment
fashion editor;5;entertainment
professeur des universités;5;general
akhoond;4;general
catholic bishop;4;general
lutenist;4;entertainment
social scientist;4;general
classical guitarist;4;entertainment
air force officer;4;general
archivist;4;general
personal stylist;4;entertainment
surinamist;4;general
paralympic competitor;4;sport
gentry;4;general
billionaire;4;general
rowing coach;4;sport
herder;4;general
encyclopédistes;4;general
restorer;4;general
long jumper;4;sport
bacteriologist;4;general
train conductor;4;general
pro gamer;4;entertainment
newspaper editor;4;general
supermodel;4;entertainment
snooker player;4;sport
historian of religion;4;general
fashion photographer;4;general
experimental musician;4;entertainment
solicitor;4;general
sommelier;4;general
urban planner;3;general
bank robber;3;general
conspiracy theorist;3;general
evolutionary biologist;3;general
literary historian;3;general
miner;3;general
bouncer;3;general
instructor;3;general
bartender;3;general
graffiti artist;3;general
ship captain;3;general
classical philologist;3;general
french resistance fighter;3;general
hornist;3;entertainment
cellist;3;entertainment
inspector;3;general
dance;3;entertainment
session musician;3;entertainment
logician;3;general
bobsledder;3;sport
psychic;3;general
snowboarder;3;sport
software engineer;3;general
marketing executive;3;business
interior designer;3;general
lighting designer;3;general
lever;3;general
figure skater;3;sport
postgraduate business degree holder;3;general
business consultant;3;business
diplom-merchant;3;general
copywriter;3;general
sport shooter;3;general
master of ceremonies;3;general
real estate development;3;general
influencer;3;entertainment
thaumaturge;3;general
healer;3;general
curandero;3;general
ophthalmologist;3;general
hygiene;3;general
serology;3;general
city attorney;3;general
dutch national rapporteur on trafficking in human beings and sexual violence against children;3;general
jazz arranger;3;entertainment
hurler;3;sport
cardiologist;3;general
catholic religious;3;general
sound designer;3;entertainment
conservation;3;general
rugby player;3;sport
squash player;3;sport
director of radio drama;3;general
combat medic;3;general
aikidoka;3;sport
sovereign;3;general
canadian football player;3;sport
carrier;3;general
epidemiologist;2;general
deity;2;general
pirate;2;general
privateer;2;general
church historian;2;general
molecular biologist;2;general
hermit;2;general
climatologist;2;general
lgbt rights activist;2;general
clinical coder;2;general
bibliographer;2;general
viol player;2;general
middle-distance runner;2;sport
guru;2;general
virtuoso;2;general
dressage rider;2;sport
engraving;2;general
political philosopher;2;general
jihadist;2;general
driver;2;general
maritime pilot;2;general
fisher;2;general
orthopedic surgeon;2;general
combined track and field event athlete;2;sport
military commander;2;general
connoisseur;2;general
go player;2;sport
calligrapher;2;general
combat engineer;2;general
islamicist;2;general
erudite;2;general
non-commissioned officer;2;general
audio book narrator;2;entertainment
medievalist;2;general
luthier;2;general
kosovo liberation army;2;general
gamer;2;general
internet celebrity;2;entertainment
herbalist;2;general
witch in fantasy fiction and games;2;general
speleologist;2;general
music historian;2;general
dutch language specialist;2;general
war criminal;2;general
land owner;2;general
land tenure;2;general
white hat;2;general
bridge player;2;sport
public administration scholar;2;general
science journalist;2;general
chief financial officer;2;general
equestrian;2;sport
beatmaker;2;entertainment
showman;2;entertainment
printer-bookseller;2;entertainment
group activist;2;general
museolog;2;general
press agent;2;general
general director;2;general
scarlett johansson;2;general
accordionist;2;entertainment
landlord;2;general
indigenous leader of the americas;2;general
tardigradologist;2;general
ombudsman;2;general
sports columnist;2;sport
gallerist;2;general
antiquarian;2;general
event rider;2;general
hymnwriter;2;general
employee;2;general
analyst;2;general
film exhibitor;2;general
coxswain;2;general
professional athlete;2;sport
sports journalist;2;sport
artistic director;2;entertainment
chess composer;2;general
seismologist;2;general
chief officer;2;general
fado singer;1;entertainment
courier;1;general
knight;1;general
lady-in-waiting;1;general
theatrologist;1;entertainment
heptathlete;1;general
electrical engineer;1;general
military physician;1;general
school teacher;1;general
topographer;1;general
homekeeper;1;general
housewife;1;general
docent;1;general
traveller;1;general
jazz guitarist;1;entertainment
chief of defence;1;general
documentarist;1;general
documentarian;1;general
africanist;1;general
promoter;1;general
philosopher of language;1;general
analytic philosopher;1;general
epistemologist;1;general
metaphysician;1;general
paleoanthropologist;1;general
bhikkhu;1;general
food technologist;1;general
chemical technologist;1;general
flamenco dancer;1;entertainment
priestess;1;general
mineralogist;1;general
epigrammatist;1;general
red army faction;1;general
manual worker;1;general
head of government;1;politics
pharmacist;1;general
french moralist;1;general
sports administrator;1;sport
prankster;1;general
agronomist;1;general
skeleton racer;1;sport
trainers;1;sport
biathlete;1;sport
shipbuilder;1;general
science communicator;1;general
prisoner;1;general
prosecutor;1;general
skateboarder;1;sport
interviewer;1;general
chartered accountant;1;general
farmworker;1;general
chelsea f.c.;1;general
chelsea football club;1;general
stamp dealer;1;general
meteorologist;1;general
intellectual;1;general
philosophes;1;general
political theorist;1;general
car designer;1;general
philologist;1;general
showgirl;1;general
physical geographer;1;general
rugby sevens player;1;sport
musher;1;general
marineoffizier;1;general
local politician;1;politics
united states armed forces;1;general
full professor;1;general
puppeteer;1;general
paleoclimatologist;1;general
squire;1;general
japanese-style painter;1;general
